Pathway	Mark	Adult_Peaks	Neonate_Peaks	Total_Adult_Peaks	Total_Neonate_Peaks	Prop_Adult	Prop_Neonate	Log2_FC	Odds_Ratio	P_Value	Direction	FDR
HALLMARK_MTORC1_SIGNALING	H3K27	1	18	2370	12887	0.0004219409282700422	0.0013967564211996586	-1.726967511820423	0.30179166080390224	0.34253217479039977	Neonate > Adult	1.0
HALLMARK_MITOTIC_SPINDLE	H3K27	12	77	2370	12887	0.005063291139240506	0.005975013579576317	-0.238866550351856	0.8466342817487855	0.6622855078488681	Neonate > Adult	1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	H3K27	2	21	2370	12887	0.0008438818565400844	0.0016295491580662683	-0.9493599331568711	0.517454954954955	0.5642900248277318	Neonate > Adult	1.0
HALLMARK_MYC_TARGETS_V1	H3K27	0	2	2370	12887	0.0	0.00015519515791107317		0.0	1.0	Neonate > Adult	1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	H3K27	0	6	2370	12887	0.0	0.0004655854737332195		0.0	0.5991943355982728	Neonate > Adult	1.0
HALLMARK_BILE_ACID_METABOLISM	H3K4	32	48	5386	7977	0.005941329372447085	0.006017299736743136	-0.018330452644004215	0.9872992155397834	1.0	Neonate > Adult	1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	H3K27	7	29	2370	12887	0.002953586497890295	0.002250329789710561	0.39233141655192116	1.3134384986939454	0.4902159874760485	Adult > Neonate	1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	H3K27	3	9	2370	12887	0.0012658227848101266	0.0006983782105998293	0.857994988900733	1.8135473876918744	0.4144160520681385	Adult > Neonate	1.0
HALLMARK_ADIPOGENESIS	H3K27	6	43	2370	12887	0.002531645569620253	0.0033366958950880733	-0.39834476435905275	0.7581159249203163	0.6925612276980179	Neonate > Adult	1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H3K27	25	129	2370	12887	0.010548523206751054	0.01001008768526422	0.07558642397335952	1.0543627378059868	0.822865383269092	Adult > Neonate	1.0
