Sample	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_N_R1_2	211.0	213.0	260.0	281.0	293.0	250.0	317.0	394.0	438.0	413.0	552.0	620.0	659.0	795.0	979.0	1039.0	1087.0	1157.0	1484.0	1713.0	2248.0	2395.0	2795.0	3466.0	5306.0	20081.0	70620.0	334616.0	1114706.0	3287562.0	8444644.0
H3K27_N_R2_1	62.0	100.0	87.0	98.0	156.0	188.0	205.0	248.0	285.0	336.0	335.0	399.0	459.0	529.0	597.0	754.0	725.0	881.0	1098.0	1320.0	1751.0	2094.0	2300.0	3414.0	5212.0	21456.0	78320.0	380164.0	1243024.0	3672777.0	9242328.0
H3K27_N_R2_2	180.0	230.0	248.0	254.0	298.0	297.0	331.0	366.0	426.0	486.0	478.0	564.0	656.0	743.0	866.0	983.0	1030.0	1142.0	1293.0	1667.0	2060.0	2403.0	2474.0	3495.0	5514.0	22280.0	79589.0	378502.0	1244628.0	3654806.0	9253413.0
H3K27_N_R3_1	84.0	116.0	122.0	147.0	154.0	149.0	236.0	292.0	294.0	333.0	423.0	462.0	524.0	650.0	705.0	797.0	864.0	1071.0	1323.0	1465.0	2027.0	2487.0	2773.0	4239.0	5667.0	19062.0	66744.0	322675.0	1069238.0	3165269.0	8137669.0
H3K27_N_R3_2	193.0	216.0	251.0	274.0	259.0	279.0	290.0	425.0	400.0	467.0	519.0	589.0	701.0	804.0	869.0	983.0	1085.0	1196.0	1447.0	1704.0	2115.0	2307.0	2560.0	3274.0	5204.0	19559.0	67603.0	321545.0	1073482.0	3150916.0	8146545.0
H3K27_N_R4_1	77.0	74.0	95.0	123.0	138.0	159.0	178.0	272.0	254.0	280.0	344.0	353.0	411.0	518.0	588.0	602.0	739.0	867.0	1029.0	1225.0	1544.0	2050.0	2054.0	3313.0	4598.0	18086.0	65527.0	314936.0	1035943.0	3102284.0	7833791.0
H3K27_N_R4_2	192.0	158.0	240.0	216.0	245.0	270.0	300.0	352.0	342.0	389.0	491.0	477.0	554.0	676.0	784.0	789.0	894.0	1046.0	1204.0	1455.0	1827.0	2082.0	2281.0	3038.0	4755.0	18551.0	66949.0	314794.0	1040553.0	3093813.0	7832735.0
H3K4_A_R1_1	87.0	135.0	118.0	116.0	130.0	144.0	166.0	216.0	208.0	190.0	209.0	259.0	262.0	311.0	362.0	389.0	434.0	498.0	550.0	802.0	1301.0	1479.0	1816.0	2309.0	3581.0	13147.0	47605.0	231083.0	767997.0	2380973.0	6100969.0
H3K4_A_R1_2	177.0	233.0	202.0	191.0	225.0	220.0	229.0	312.0	311.0	290.0	331.0	387.0	424.0	434.0	507.0	555.0	580.0	664.0	695.0	966.0	1191.0	1296.0	1543.0	2084.0	3348.0	13734.0	48389.0	230729.0	770714.0	2382295.0	6094590.0
H3K4_A_R2_1	63.0	90.0	82.0	88.0	116.0	135.0	152.0	184.0	139.0	178.0	183.0	217.0	247.0	287.0	299.0	300.0	339.0	405.0	513.0	669.0	1047.0	1240.0	1405.0	1901.0	2889.0	11556.0	42317.0	206273.0	675671.0	2094079.0	5287920.0
