Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
IgG_A_R1_1	69.93117757086556	11.025265175752889	2.1137790933151224	0.6556903405538889	0.4287919164352767	0.34728796563557773	0.3305357870489496	0.25347904579458463	0.22123902391031747	3.623971970547632	2.2367120427637666	4.269574633421125	0.3269985461606192	2.181314222489623	0.2994138746570627	1.7547687906479215
IgG_A_R1_2	69.95338610687276	11.01385423138092	2.0816931014300297	0.6735383548713207	0.40292475757192764	0.36719654845404304	0.30368197749307085	0.2447854868151355	0.21446048430011588	3.6818443131530216	2.240126247801345	4.221781047800765	0.32772147860764844	2.141450289602476	0.26085266251138467	1.8707029113343026
IgG_N_R1_1	58.7854557494505	13.739684015647649	3.2767821111449593	0.9766978658494081	0.4738088999597479	0.3371675979804792	0.30163449857302976	0.2558475662534563	0.2349109443118257	3.505404010211457	1.7842263712429782	9.675564948055188	1.5331821988379033	1.9324758672394096	0.6120392272888524	2.575118127953066
IgG_N_R1_2	59.838700316122164	13.211715854822534	3.1288900998882756	0.9907645818843928	0.46890698025719624	0.36088583332085816	0.30696933805552384	0.2529112080590426	0.23752927186831613	3.5264001572258517	1.7420707080545166	9.146037558684382	1.3279549353814315	1.96830564700271	0.862114667382596	2.6298428419904765
nH3K27_A_R1_1	69.95955245730904	11.690684231878208	2.3521963423702617	0.8649500217360794	0.48210254515290324	0.35960112450985127	0.30637683527529375	0.2732971902758787	0.21831639384833645	4.556483619152133	3.542670573879304	3.3983640784447386	0.7290638890036996	1.1264146709300267	0.13992602623418732	0.0
nH3K27_A_R1_2	70.88327205940143	11.513784196162295	2.218094828791868	0.7264925893321238	0.4635997184119411	0.38947082245041537	0.31084184383511965	0.2708423724275507	0.24530126960969093	4.418028365365187	3.4897693746733247	3.1080149523559837	0.6718595065533836	1.1102555336088737	0.0959597652450235	0.08441280177593957
nH3K27_A_R2_1	71.07179846728377	12.46185923271462	2.416911335711893	0.7440674909373838	0.4368924819787924	0.3818316132589818	0.3253446789175586	0.288140779016746	0.2427123305231133	4.541971330813414	3.1463042985823613	1.963484816214911	0.6483080028380153	1.1436562337126657	0.18671690749572917	0.0
nH3K27_A_R2_2	71.96981202175941	11.964182438896708	2.3892936437731866	0.7898420577174878	0.4540907871096917	0.38038616783289453	0.3247939448681346	0.24405610301618455	0.257906651704406	4.518705319577789	2.903749910651785	1.853492726118045	0.6156499827570452	1.1140551206223726	0.13861100455689032	0.08137211903798232
nH3K27_A_R3_1	70.4288894804585	12.559898437947473	2.6254797790407522	0.8227150921281012	0.5092850017643871	0.3645480444759279	0.320883955475287	0.2867108245540812	0.29294151107297367	4.794289952544937	3.139349823047983	2.0332411272346205	0.7332733282625324	0.9912662727569334	0.09722736923555221	0.0
nH3K27_A_R3_2	71.06120981330722	12.302501749810132	2.4758726851083455	0.8321887962367042	0.5058192245852461	0.35603017602291526	0.34971985509884673	0.3393868024928435	0.2653494096744988	4.733157687626112	3.041628931512299	1.928992498404175	0.7019919244109923	0.9413074455525564	0.16484300015697223	0.0
nH3K27_N_R1_1	47.8385975112023	8.865919077778148	1.9620882265643342	0.7166063435227064	0.4824072475245832	0.37307250459890196	0.30522976991203044	0.2678898400105498	0.23166556206106015	3.192812279048354	2.850532202982433	29.063447015821193	2.796014844322301	0.9506001548864598	0.10311741976441753	0.0
nH3K27_N_R1_2	49.06247555450374	8.647198066092452	1.9856284280521042	0.7230646119367212	0.47315639346324967	0.36423393724563313	0.3370963077033484	0.29450047526516177	0.2650007175895694	3.4036040103766068	2.884472662851996	28.0222861929818	2.4945899359570416	0.8596384223109493	0.18305428366952436	0.0
nH3K27_N_R2_1	49.363255501115724	10.298949476856182	2.407646003960515	0.8308751062112543	0.4935486081996873	0.40925004928307646	0.33139785285899004	0.2732305858943323	0.25238520943535603	3.246098463097679	2.5418520626720964	26.189176538575843	2.141348840858398	1.1772245583984973	0.043761142582370474	0.0
nH3K27_N_R2_2	50.641736958860875	9.984667858947361	2.3332772661292065	0.8469246001173667	0.5091379277257856	0.40233118231326176	0.34154722860699965	0.3291682140988372	0.26986299172900935	3.4040919552118645	2.6509541174608366	25.147603351036764	1.9349826447412672	1.1189072778338718	0.0	0.08480642518670486
nH3K27_N_R3_1	49.082470694501716	10.633533070624779	2.5599091463313295	0.8630557012738734	0.47104443306567384	0.35548286952226565	0.3334388118490299	0.2989035069423887	0.24924307939686186	3.0691240661915504	2.1343526647407587	25.584253103043388	2.8400908351669916	1.4052417902857013	0.1198562270639708	0.0
