H3K27_N_R1_2	102.0	139.5	173.5	220.5	278.5	406.0	536.5	741.5	937.5	1306.5	1720.5	2568.5	3421.5	4835.0	6415.5	9179.5	12136.5	16694.5	21497.5	28763.0	36357.5	47438.5	58950.0	74854.0	91656.5	106477.5	128584.0	157310.5	189776.0	229355.5	273780.5	325256.5	378174.5	438865.0	503502.5	570716.0	636250.0	689949.5	730551.0	766515.5	801596.5	835265.0	866864.5	904941.5	944144.5	978933.5	1011136.5	1034081.5	1052556.5	1057994.5	1056321.5	1026882.0	989537.0	936290.5	879489.0	809887.0	736712.0	659039.0	584526.0	507315.5	434185.0	370318.5	308091.0	260824.5	212836.5	172405.5	136989.5	110875.5	87439.0	70904.5	57579.0	47584.0	38597.0	32644.5	27574.5	23831.5	20994.5	18475.0	16063.5	14012.5	12088.0	10438.0	8778.5	7476.0	6235.0	5214.0	4215.0	3525.0	2866.0	2304.0	1764.0	1463.0	1165.0	969.5	785.0	787.0	831.5	1926.5	3052.0	12376.0	21627.0
H3K27_N_R2_1	98.0	116.0	135.0	184.5	239.0	333.5	428.5	664.0	898.0	1338.0	1808.0	2740.5	3711.5	5315.5	7084.0	9995.5	13130.5	18308.0	23764.0	31843.0	40249.0	52594.0	65528.0	83880.0	103115.5	120349.0	145619.5	177378.0	213682.0	258135.0	307811.5	365145.5	424747.0	492270.0	563071.0	637705.0	711436.0	773780.5	821174.5	864381.5	908029.5	948860.5	987035.5	1030848.0	1074093.5	1111500.0	1146127.0	1167814.0	1182499.5	1181106.0	1173186.5	1135951.5	1090251.5	1027282.5	959323.5	877739.0	793563.0	704551.0	619194.0	534751.5	454254.5	382684.5	314690.0	264742.0	213975.5	173408.0	138159.5	111168.5	86784.0	69201.5	55199.5	45413.5	36640.5	30602.0	25601.0	22078.5	19311.0	16745.5	14381.0	12286.0	10266.5	8717.0	7193.0	5980.5	4804.5	3980.5	3172.0	2436.5	1765.5	1339.5	913.0	657.0	409.0	315.5	226.0	194.5	159.0	114.0	66.5	35.0	9.0
H3K27_N_R2_2	120.0	145.0	172.5	241.0	312.5	442.0	572.5	798.0	1036.0	1486.5	1957.5	2912.0	3905.5	5539.5	7366.5	10509.0	13827.5	18909.0	24315.5	32781.5	41585.0	54417.0	67937.5	86181.5	105279.5	122854.0	148702.5	181567.5	218799.5	263127.0	311958.0	369174.5	429041.5	496644.0	567435.5	640959.5	713881.0	776161.0	824062.5	867822.5	911164.0	952056.5	989498.0	1031228.5	1072771.0	1109169.5	1143839.5	1163958.5	1176918.0	1176500.5	1168003.0	1127495.0	1079643.5	1015589.0	946995.5	865270.5	781151.0	693516.0	610124.0	527017.0	447422.5	378431.0	312303.0	262621.0	212384.5	171715.0	136422.0	109954.0	86092.0	69086.5	55380.0	45853.0	37442.0	31437.0	26471.5	22982.5	20184.5	17398.0	14857.0	13017.0	11179.5	9604.0	8113.0	7023.5	5927.0	4895.5	3936.0	3297.5	2679.0	2207.5	1747.0	1429.0	1123.0	986.5	875.0	872.5	853.0	1768.0	2731.5	12429.0	22084.0
H3K27_N_R3_1	64.0	91.0	113.5	145.0	183.0	291.5	401.5	563.5	733.5	1081.0	1451.0	2152.5	2853.5	4182.0	5715.0	8244.0	10843.5	14826.5	19161.0	25965.0	32929.5	42997.5	53580.5	68442.5	84058.5	97947.5	118166.5	144313.5	174904.0	212657.0	254298.5	302524.0	353204.0	411658.5	473340.0	538420.0	602666.0	653862.5	691929.0	726840.0	761138.5	794619.5	826308.5	864809.5	903433.5	937934.0	972207.0	997217.0	1016570.0	1023294.0	1023014.0	998629.5	967742.5	920572.0	869801.0	803844.0	732540.0	654628.0	579506.5	503882.5	432725.0	369050.5	307162.0	260797.5	213767.5	173771.5	138273.0	111303.5	87421.5	71118.0	57557.0	47127.5	38064.0	31848.5	26550.5	23293.5	20755.0	17885.0	15209.5	13061.5	11014.5	9532.0	8043.0	6750.0	5539.5	4587.0	3620.0	2807.5	2074.5	1596.0	1113.0	819.0	535.0	379.0	220.5	175.0	131.0	84.5	38.0	22.0	9.0
H3K27_N_R3_2	102.0	135.0	168.5	227.5	285.5	368.5	456.0	623.5	797.5	1211.5	1659.0	2397.5	3135.5	4376.5	5801.5	8362.0	11064.0	15296.0	19751.0	26327.5	33162.0	43383.5	54208.0	69256.5	84927.5	99149.0	120117.5	146584.5	177224.5	215302.0	256877.0	304950.5	355490.0	413943.0	476159.0	540489.0	603047.0	654626.5	694290.0	730147.0	764763.5	797013.5	826893.0	864035.5	901735.5	935424.5	969058.0	993782.0	1012234.5	1017968.0	1018172.5	992229.5	957516.5	907970.5	855648.5	790412.5	721965.0	646963.0	573801.5	499360.0	429139.5	366296.0	304963.5	258750.0	211922.5	172492.5	137694.0	111595.5	88234.5	71540.5	58129.0	48395.0	39363.5	33090.0	27949.0	24334.5	21448.5	18500.5	15704.5	13772.5	11986.0	10334.0	8757.5	7640.0	6502.0	5381.5	4270.5	3511.0	2824.0	2295.5	1776.0	1452.0	1148.0	979.5	808.0	802.5	815.5	2409.5	4030.0	15075.5	26075.0
H3K27_N_R4_1	98.0	113.5	115.5	142.5	192.0	290.5	383.5	580.0	776.5	1151.5	1562.0	2376.5	3191.5	4414.0	5819.0	8464.0	11231.0	15580.0	20206.5	27060.5	34181.5	44878.5	56133.0	71407.0	87303.5	101972.0	124173.5	152492.5	184461.0	223928.5	268320.0	320218.0	373436.5	434062.0	499233.5	566604.0	631164.0	681575.5	717643.0	746728.0	776216.0	804385.0	828696.0	857930.5	888840.5	917341.0	943931.0	962204.0	976118.5	976296.5	970135.5	939041.0	901093.5	851368.5	798310.5	731926.5	662261.0	590000.5	520713.0	450175.0	383853.5	325922.5	269926.5	227895.0	185586.0	150832.5	119966.5	96632.5	76039.5	61339.5	49191.0	40372.0	32737.5	27753.0	23374.0	20082.0	17665.5	15182.5	12721.5	11009.5	9434.5	8013.0	6628.5	5653.0	4657.0	3805.0	2996.0	2358.5	1756.5	1303.5	870.5	655.5	439.5	314.5	186.0	171.5	162.0	112.0	63.0	36.0	9.0
H3K27_N_R4_2	139.0	171.5	194.5	232.0	284.0	385.0	499.5	707.0	900.5	1281.5	1694.5	2541.0	3405.0	4778.5	6313.5	9060.0	12006.5	16606.5	21446.0	28457.5	35808.0	46509.0	57679.0	73660.0	90394.5	105200.5	126986.0	155163.0	187556.0	226926.5	271127.5	323756.5	377934.0	437956.0	501512.5	569025.0	634356.5	683982.5	719958.0	750243.5	779734.5	806587.5	830958.5	860716.5	890068.0	917686.0	945039.0	960504.5	969428.5	967887.0	962845.0	932578.0	894101.5	842794.5	787512.5	718796.0	649040.0	579621.5	512502.0	442773.0	376812.5	320776.0	266701.5	225078.5	183047.5	148798.0	118572.5	95614.0	75189.5	60757.5	49146.5	40822.5	33310.5	28013.5	23553.5	20436.5	18065.5	15776.0	13624.5	11910.5	10196.0	8777.0	7423.0	6436.5	5507.0	4615.0	3716.0	3077.5	2488.5	1974.5	1475.0	1251.0	1027.5	884.0	737.0	706.0	693.5	1768.5	2888.0	12064.5	21189.0
H3K4_A_R1_1	51.0	88.0	125.5	164.0	205.5	275.5	347.5	525.5	701.5	995.0	1324.0	1977.0	2617.5	3635.0	4792.0	6787.0	8894.0	12114.0	15443.0	20560.0	26002.5	33837.5	41891.0	53016.0	64814.5	75846.5	92464.5	114357.5	139437.0	171011.5	206998.5	249345.0	292443.5	340784.0	391720.5	443500.0	492564.5	527080.5	548953.5	561859.5	575712.5	588943.5	599584.0	615480.0	632781.0	651717.0	670790.5	684867.5	696859.0	702043.0	702738.5	687915.0	666490.0	633193.5	598691.0	556601.5	512206.5	463913.5	417442.0	369260.5	323216.0	282853.0	243911.5	212095.0	179046.5	151056.5	126001.0	105992.0	88270.0	75877.0	65285.5	56137.5	47992.5	42562.0	37752.0	33808.0	30613.0	27277.5	24143.5	21376.5	18600.0	16142.5	13792.0	11799.0	9795.0	8060.5	6396.5	5004.5	3693.0	2836.5	1979.5	1440.5	922.5	646.5	377.0	306.0	230.5	159.0	87.5	50.0	16.0
H3K4_A_R1_2	107.0	154.0	201.5	252.5	313.5	377.5	436.5	638.0	847.5	1176.0	1515.0	2178.5	2844.0	3871.5	5050.5	7202.5	9499.5	12870.5	16382.5	21769.5	27427.5	35316.5	43508.0	55047.0	67029.0	78329.5	95424.0	117185.5	142647.5	175024.5	211101.0	253687.0	296976.0	345297.0	396384.5	448423.0	497995.5	531445.0	551926.0	565217.5	579705.5	591794.5	600521.0	616348.5	633310.5	650464.5	668457.5	681289.0	690540.5	693102.0	693206.5	677805.0	655917.5	624111.0	591123.5	549483.5	504993.5	457168.0	411455.0	363305.5	317294.0	277794.0	239492.0	208408.0	176541.5	149115.5	124062.5	104605.5	87560.5	74889.5	64089.5	55749.0	48240.5	42459.0	37326.5	33487.0	30556.0	27457.5	24390.0	21656.0	18939.5	16263.0	13662.5	11895.5	10178.5	8462.0	6746.5	5395.0	4169.5	3299.5	2449.0	1958.0	1470.5	1195.0	916.5	818.0	727.5	1851.0	3024.0	12198.0	21319.0
H3K4_A_R2_1	54.0	83.0	109.5	160.5	214.5	281.5	354.5	511.0	663.0	940.5	1242.5	1871.0	2505.0	3504.5	4644.0	6380.0	8153.0	11201.5	14539.5	19298.5	24191.5	31302.5	38623.5	48801.0	59432.0	68959.0	83757.5	103888.0	127101.0	155910.5	188625.0	227424.0	266448.0	309984.5	356320.5	402530.0	445913.0	476075.0	494231.5	503412.5	514571.0	525851.0	533501.0	545814.0	560438.5	575478.0	589149.5	599307.0	607958.0	609558.5	608297.5	593236.5	572022.0	541646.5	510048.0	471192.5	430530.5	388536.0	348859.5	308257.0	269124.0	233909.0	199825.5	173539.5	146712.5	123722.0	103199.5	87208.5	72826.5	61429.5	51780.5	44954.5	38777.5	34051.0	30004.0	26803.5	24290.5	21709.5	19157.5	16974.0	14862.5	12923.0	11014.5	9270.5	7553.0	6258.0	5003.0	3958.0	3002.0	2252.0	1496.0	1094.0	700.5	497.5	294.0	217.0	141.5	98.0	52.5	28.0	8.0
