task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1178	cd/8c7318	234271	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K27_N_R2)	COMPLETED	0	2025-01-24 04:10:12.246	8m 55s	8m 51s	90.2%	1.8 GB	9.8 GB	7.5 GB	4.5 GB
1224	65/57e932	364842	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K27_N_R1)	COMPLETED	0	2025-01-24 04:19:05.024	2.5s	91ms	28.7%	3.4 MB	6.4 MB	2.4 MB	1.6 MB
1222	cc/e063a8	364220	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K27_N_R3)	COMPLETED	0	2025-01-24 04:19:04.165	3.6s	56ms	27.8%	3.3 MB	6.4 MB	2.4 MB	1.6 MB
1226	03/7c8599	364974	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K27_N_R4)	COMPLETED	0	2025-01-24 04:19:05.384	3s	54ms	41.7%	3.4 MB	6.4 MB	1.8 MB	1.2 MB
1228	b1/ff2e77	366413	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K4_N_R3)	COMPLETED	0	2025-01-24 04:19:06.407	3.8s	48ms	15.0%	3.4 MB	6.4 MB	1.6 MB	1020.9 KB
1235	68/c688dc	368679	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K27_N_R3)	COMPLETED	0	2025-01-24 04:19:08.382	4.1s	98ms	16.9%	3.8 MB	7.9 MB	1.7 MB	2.4 MB
1234	a0/99846c	368692	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K27_N_R3)	COMPLETED	0	2025-01-24 04:19:08.412	4.4s	0ms	33.4%	3.1 MB	4.3 MB	3.2 MB	3.1 MB
1230	da/ec6c82	367337	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K27_N_R2)	COMPLETED	0	2025-01-24 04:19:07.595	5.6s	87ms	29.1%	2.9 MB	3.9 MB	4 MB	2.6 MB
1237	c5/e16268	368699	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K27_N_R4)	COMPLETED	0	2025-01-24 04:19:08.434	5.2s	87ms	19.6%	4 MB	7.9 MB	1.3 MB	1.8 MB
1236	f1/b69b69	368708	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K27_N_R4)	COMPLETED	0	2025-01-24 04:19:08.457	5.5s	0ms	50.7%	3.2 MB	4.3 MB	2.5 MB	2.4 MB
1232	1d/6ce41c	367382	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K27_N_R1)	COMPLETED	0	2025-01-24 04:19:07.643	6.5s	0ms	28.8%	3.2 MB	4.3 MB	3.2 MB	3.1 MB
1233	1c/aff8c1	367360	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K27_N_R1)	COMPLETED	0	2025-01-24 04:19:07.618	6.8s	62ms	24.3%	3 MB	3.9 MB	1.7 MB	2.4 MB
1240	ab/dcadce	374297	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K27_N_R3)	COMPLETED	0	2025-01-24 04:19:12.855	4.9s	65ms	35.6%	3.4 MB	6.4 MB	2.5 MB	739.9 KB
